City,State,Year Built,Bathrooms,Bedrooms,Square Footage,List Price,House Type,City_freq,House Age,House Size
Charles Town,WV,1978.0,1,3,1942.0,34953.92,Unknown,12,47.0,Medium
Baltimore,MD,1957.0,2,4,1440.0,450000.0,Townhouse,497,68.0,Medium
Middle River,MD,1986.0,2,3,1200.0,74750.0,Unknown,21,39.0,Small
Baltimore,MD,1986.0,1,3,1200.0,150000.0,Unknown,497,39.0,Small
Upper Marlboro,MD,2002.0,4,5,3450.0,595000.0,Single-Family Home,124,23.0,Large
Baltimore,MD,1922.0,4,6,4148.0,265000.0,Single-Family Home,497,103.0,Large
Baltimore,MD,1901.0,2,4,2200.0,630000.0,Single-Family Home,497,124.0,Medium
Alexandria,VA,1967.0,1,1,825.0,229000.0,Apartment/Condo,307,58.0,Small
Rock Hall,MD,1966.0,2,4,1200.0,329900.0,Townhouse,6,59.0,Small
Oxon Hill,MD,1961.0,3,3,1204.0,450000.0,Townhouse,7,64.0,Small
King George,VA,1989.0,4,4,2498.0,570000.0,Single-Family Home,13,36.0,Medium
Baltimore,MD,1923.0,2,2,1277.0,225000.0,Townhouse,497,102.0,Small
Owings Mills,MD,1980.0,2,5,1680.0,410000.0,Other,18,45.0,Medium
Ijamsville,MD,1996.0,4,4,4700.0,900000.0,Single-Family Home,1,29.0,Large
Washington,DC,2016.0,1,3,330.0,249000.0,Unknown,188,9.0,Small
Middle River,MD,1986.0,2,3,1200.0,34953.92,Townhouse,21,39.0,Small
Westminster,MD,2006.0,5,6,6100.0,1350000.0,Single-Family Home,9,19.0,Large
Dundalk,MD,1945.0,2,3,1088.0,350000.0,Townhouse,14,80.0,Small
Glen Burnie,MD,1999.0,2,3,1039.0,290000.0,Townhouse,28,26.0,Small
Washington,DC,1935.0,2,3,1180.0,650000.0,Townhouse,188,90.0,Small
Greenbelt,MD,1996.0,4,4,2070.0,725000.0,Single-Family Home,4,29.0,Medium
Arlington,VA,1990.0,1,1,912.0,34953.92,Apartment/Condo,262,35.0,Small
Jessup,MD,1986.0,3,4,3800.0,989000.0,Single-Family Home,5,39.0,Large
Bowie,MD,1994.0,3,3,1312.0,370000.0,Townhouse,110,31.0,Medium
King George,VA,1941.0,1,2,851.0,250000.0,Apartment/Condo,13,84.0,Small
Rockville,MD,2003.0,5,6,5500.0,1456280.0000000007,Single-Family Home,84,22.0,Large
Baltimore,MD,1920.0,5,6,3800.0,599000.0,Single-Family Home,497,105.0,Large
Ellicott City,MD,1962.0,3,4,1974.0,680000.0,Single-Family Home,58,63.0,Medium
North Bethesda,MD,1981.0,3,5,2766.0,1456280.0000000007,Single-Family Home,1,44.0,Large
Baltimore,MD,1925.0,2,4,2.0,475000.0,Other,497,100.0,Medium
Baltimore,MD,1940.0,1,2,1406.0,45000.0,Townhouse,497,85.0,Medium
Lanham,MD,2019.0,3,3,2561.0,540000.0,Unknown,1,6.0,Large
Suitland,MD,1949.0,2,2,985.0,399000.0,Apartment/Condo,15,76.0,Small
